participant_id,session_timestamp,session_uuid,unix_timestamp_ms,event_type,game_mode,game_phase,target_id,target_type,target_x_normalized,target_y_normalized,target_x_pixels,target_y_pixels,target_index,game_score_at_event
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451527899,stimuli_stop,head-fixed,starting,circle_001,head,0.6820833333333334,0.3,982.2,393.3,47,47
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451527899,stimuli_start,head-fixed,targeting,circle_002,head,0.6576887922724165,0.39999999999999997,947.0718608722798,524.4,48,47
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451528006,stimuli_stop,head-fixed,targeting,circle_002,head,0.6576887922724165,0.39999999999999997,947.0718608722798,524.4,48,48
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451528006,stimuli_start,head-fixed,targeting,circle_003,head,0.5910416666666667,0.47320508075688766,851.1,620.3718608722797,49,48
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529091,stimuli_stop,head-fixed,targeting,circle_003,head,0.5910416666666667,0.47320508075688766,851.1,620.3718608722797,49,49
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529091,stimuli_start,head-fixed,targeting,circle_004,head,0.5,0.5,720,655.5,50,49
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529285,stimuli_stop,head-fixed,targeting,circle_004,head,0.5,0.5,720,655.5,50,50
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529285,stimuli_start,head-fixed,targeting,circle_005,head,0.4089583333333334,0.4732050807568878,588.9000000000001,620.3718608722799,51,50
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529587,stimuli_stop,head-fixed,targeting,circle_005,head,0.4089583333333334,0.4732050807568878,588.9000000000001,620.3718608722799,51,51
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451529587,stimuli_start,head-fixed,targeting,circle_006,head,0.3423112077275835,0.39999999999999997,492.9281391277202,524.4,52,51
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451530197,stimuli_stop,head-fixed,targeting,circle_006,head,0.3423112077275835,0.39999999999999997,492.9281391277202,524.4,52,52
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451530197,stimuli_start,head-fixed,targeting,circle_007,head,0.3179166666666667,0.30000000000000004,457.8,393.30000000000007,53,52
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451530613,stimuli_stop,head-fixed,targeting,circle_007,head,0.3179166666666667,0.30000000000000004,457.8,393.30000000000007,53,53
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451530613,stimuli_start,head-fixed,targeting,circle_008,head,0.3423112077275835,0.19999999999999998,492.9281391277202,262.2,54,53
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531084,stimuli_stop,head-fixed,targeting,circle_008,head,0.3423112077275835,0.19999999999999998,492.9281391277202,262.2,54,54
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531084,stimuli_start,head-fixed,targeting,circle_009,head,0.40895833333333326,0.12679491924311231,588.8999999999999,166.22813912772025,55,54
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531288,stimuli_stop,head-fixed,targeting,circle_009,head,0.40895833333333326,0.12679491924311231,588.8999999999999,166.22813912772025,55,55
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531288,stimuli_start,head-fixed,targeting,circle_010,head,0.5,0.10000000000000002,720,131.10000000000002,56,55
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531609,stimuli_stop,head-fixed,targeting,circle_010,head,0.5,0.10000000000000002,720,131.10000000000002,56,56
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531609,stimuli_start,head-fixed,targeting,circle_011,head,0.5910416666666667,0.12679491924311231,851.1,166.22813912772023,57,56
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531823,stimuli_stop,head-fixed,targeting,circle_011,head,0.5910416666666667,0.12679491924311231,851.1,166.22813912772023,57,57
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451531823,stimuli_start,head-fixed,targeting,circle_012,head,0.6576887922724165,0.19999999999999996,947.0718608722798,262.19999999999993,58,57
P7020,2025-08-29T07-10-47,3efcc422-ae6e-4891-8925-7b8e021e2e31,1756451532048,stimuli_stop,head-fixed,targeting,circle_012,head,0.6576887922724165,0.19999999999999996,947.0718608722798,262.19999999999993,58,58
